SITE_ID,VISIT_NO,PH_LAB,COND,ANC,TURB,DOC,NH4N_PPM,NO3_NO2,NO3N_PPM,NTL,PTL,CHLA,CL_PPM,SO4_PPM,CA_PPM,MG_PPM,NA_PPM,K_PPM,COLOR,SIO2,CATSUM,ANSUM2,SOBC,SECMEAN,CLEAR_TO_BOTTOM
NLA06608-1056,1,7.58,93.75,555.51,4.02,4.47,0.017,0.005,0.005,0.464,22,8.752,7.189,6.75,1.838,6.717,4.23,2.23,15,4.4,886.69,898.84,885.48,2.08,NA
NLA06608-1057,1,7.69,47.27,433.77,0.555,0.92,0.005,0.005,0.005,0.028,1,0.149,0.522,0.952,4.524,2.316,0.854,0.142,3,5.783,457.13,468.33,457.11,4.89,NA
NLA06608-1058,1,7.41,31.35,288.7,0.559,2.18,0.005,0.005,0.005,0.171,1,0.8,0.414,0.125,2.672,1.219,1.307,0.205,3,9.531,296.34,301.86,295.74,6.45,NA
NLA06608-1059,1,8.71,388.9,3334,13.1,7.72,0.016,0.005,0.005,1.406,161,39.8,19.37,18.045,35.95,22.09,8.272,2.281,11,17.658,4030.71,4256.05,4029.8,0.95,NA
NLA06608-1060,1,8.94,113.9,953.32,19.5,9.24,0.033,0.005,0.005,2.372,243,155.52,4.374,3.126,8.915,3.544,7.375,2.434,20,13.899,1121.18,1141.78,1119.54,0.41,NA
NLA06608-1060,2,8.95,116,941.63,18.7,8.81,0.027,0,0,2.153,232,161.76,4.397,2.827,8.812,3.503,7.179,2.397,20,13.281,1103.6,1124.64,1101.55,NA,NA
NLA06608-1070,1,8.72,759.5,5924.73,12.7,14.18,0.044,0.005,0.005,1.183,774,23.112,16.709,104.207,54.92,44.42,31.77,22.42,20,29.335,8353.58,8565.62,8351.09,1.55,NA
NLA06608-1073,1,7.71,59.04,504.73,0.891,1.22,0.014,0.005,0.005,0.068,3,0.338,0.133,3.077,10.72,0.24,0.354,0.312,5,3.249,579.05,572.56,578.06,10.3,NA
NLA06608-1075,1,6.14,25.9,35.33,1.09,7.79,0.005,0.005,0.005,0.406,8,4.528,1.454,3.609,0.982,0.607,1.011,0.929,11,0.025,167.77,152.21,166.69,NA,Y
NLA06608-1083,1,8.78,600.9,2267.72,27.6,6.03,0.025,0.369,0.306,2.784,530,318.24,70.215,81.143,47.16,11.38,62.27,5.536,20,0.435,6141.28,5959.45,6139.91,0.63,NA
NLA06608-1086,1,9,7200,16088.35,13.8,41.47,0.032,0.005,0.12,3.95,92,13.86,174.092,3493.152,12.57,288.8,1366,125.6,18,19.278,87023.7,93734.78,87022.17,0.51,NA
NLA06608-1087,1,7.23,24.99,155.73,3.22,2.68,0.01,0.005,0.005,0.273,14,3.584,1.501,1.068,1.194,0.441,2.006,0.925,14,5.855,207.55,220.36,206.78,1.53,NA
NLA06608-1089,1,8.18,134.8,1277.4,0.468,7.2,0.011,0.005,0.005,0.293,8,1.04,1.33,1.649,14.72,4.129,5.514,1.299,2,6.65,1348.1,1350.04,1347.36,8.2,NA
NLA06608-1091,1,9.04,4378,15299.3,9.06,26.4,0.048,0.005,0.005,2.503,90,12.667,128.72,1516.191,13.75,140.5,746.6,93.26,4,18.777,47110.39,50497.07,47108.18,1.55,NA
NLA06608-1096,1,8.54,235.6,2248.08,37.9,2.08,0.01,0.005,0.005,0.665,171,36.17,1.629,9.679,29.66,3.852,7.794,6.215,9,56.074,2295.6,2495.55,2294.99,0.25,NA
NLA06608-1100,1,8.31,555.5,2240.34,0.94,3.1,0.033,0.005,0.005,0.262,8,2.896,78.766,38.432,46.67,8.653,46.12,2.408,8,1.246,5110.71,5262.17,5108.57,4.28,NA
NLA06608-1101,1,8.68,397.7,1664.29,20.8,5.53,0.018,0.005,0.005,1.713,109,128.736,61.445,6.382,23.71,8.94,34.61,1.249,18,10.94,3457.22,3530.28,3456.18,NA,Y
NLA06608-1102,1,7.1,24.94,170.64,0.83,4.97,0.01,0.005,0.005,0.23,4,2.104,0.162,1.933,2.328,0.789,0.797,0.522,4,0.325,229.9,215.53,229.11,3.95,NA
NLA06608-1103,1,8.13,364.8,1909.54,18.3,8.17,0.073,5.592,5.409,6.469,224,10.976,13.491,40.102,40.63,11.69,8.369,5.043,40,8.366,3487.29,3511.16,3482.4,0.41,NA
NLA06608-1107,1,8.8,2870,10438.42,63.9,63.37,0.423,0.034,0.137,7.75,733,49.032,51.06,1192.682,82.01,299.3,182.4,78.37,55,40.712,38682.44,36720.04,38659.5,0.18,NA
NLA06608-1108,1,8.82,346.4,2160.01,10.8,4.94,0.012,0.005,0.005,1.328,126,53.64,30.22,21.877,27.39,15.96,11.45,3.537,17,0.901,3269.23,3467.88,3268.59,0.57,NA
NLA06608-1108,2,8.63,334.2,2073.94,9.51,4.47,0.018,0,0,1.038,110,69.84,29.042,20.456,27.13,15.64,11.31,3.504,9,0.518,3223.42,3319,3222.35,NA,NA
NLA06608-1111,1,8.38,1120,4050.12,19.7,11.85,0.032,0.005,0.005,1.5,193,46.224,13.072,399.334,120.6,73.6,12.72,8.098,18,37.218,12836.79,12732.97,12834.75,0.28,NA
NLA06608-1113,1,7.55,54.55,302.73,2.07,1.93,0.005,0.005,0.005,0.118,9,7.568,4.827,3.112,2.678,1.32,4.307,1.304,9,8.493,463.61,503.7,462.95,2.25,NA
NLA06608-1114,1,7.25,806,359.22,7.24,5.07,0.015,0.074,0.068,0.558,63,12.496,196.964,30.226,7.114,12.96,116.4,5.557,26,7.351,6627.81,6549,6626.69,0.83,NA
NLA06608-1115,1,8.68,631.2,3156.79,3.8,10.45,0.025,0.005,0.005,1.041,19,4.416,79.405,43.861,27.91,29.82,51.61,8.421,13,0.618,6308.27,6309.68,6306.83,3.49,NA
NLA06608-1119,1,7.08,30.1,218.23,6.14,4.99,0.005,0.005,0.005,0.265,16,2.207,0.382,1.723,3.322,0.903,0.667,0.575,9,3.177,284.3,264.96,283.79,1.75,NA
NLA06608-1120,1,8.53,274.5,2623.69,2.8,1.1,0.005,0.005,0.005,0.165,144,8.016,2.398,12.158,27.95,16.94,2.435,1.117,0,8.13,2923.7,2944.46,2923.15,1.35,NA
NLA06608-1122,1,7.23,131.2,234.04,2.01,4.11,0.01,0.005,0.005,0.318,9,5.92,25.198,5.167,5.248,0.968,14.73,1.835,17,1.686,1029.95,1052.41,1029.18,2.02,NA
NLA06608-1124,1,9.08,423.7,1927.44,2.16,6.5,0.025,0.005,0.005,0.433,9,1.18,5.612,100.23,18.79,15.02,41.1,1.759,3,2.801,4007.44,4172.52,4006.33,NA,Y
NLA06608-1125,1,8.66,301,2804.8,1.62,3.68,0.012,0.005,0.005,0.315,17,4.176,10.813,6.291,30.09,16.33,6.144,1.709,11,5.647,3156.91,3240.77,3156.21,3.65,NA
NLA06608-1129,1,7.86,77.69,686.26,3.01,4.97,0.019,0.005,0.005,0.336,12,4.32,0.88,1.802,7.601,3.56,0.723,0.365,15,0.201,714.34,748.61,713.02,2.05,NA
NLA06608-1130,1,8.36,555,4310.85,6.39,4.8,0.081,0.005,0.005,0.634,65,23.68,24.561,42.925,66.55,26.93,9.399,1.789,14,12.815,5996.64,5897.82,5991.45,1.08,NA
NLA06608-1131,1,8.5,444.2,2696.77,3.53,6.76,0.028,0.005,0.005,0.504,1,6.192,52.047,17.515,40.49,12.41,31.37,2.562,9,1.372,4473.42,4529.47,4471.69,1.68,NA
NLA06608-1134,1,8.48,232.6,2539.02,5.15,9.74,0.031,0.005,0.005,0.826,24,9.43,0.578,0.125,23.85,15.3,2.263,0.898,20,20.397,2572.45,2555.33,2570.52,1.3,NA
NLA06608-1141,1,8.23,508.5,1875.91,2.7,3.23,0.106,0.098,0.087,0.824,45,10.16,70.153,41.226,25.72,12.12,53.91,2.693,8,6.348,4701.57,4719.19,4694.59,1.75,NA
NLA06608-1143,1,8.3,243.3,2447,2.44,2.08,0.049,0.355,0.423,0.768,59,9.52,1.721,4.903,30.08,10.1,2.724,0.616,9,28.752,2469.53,2627.83,2466.34,NA,Y
NLA06608-1145,1,8.82,179.9,940.79,15.5,4.29,0.013,0.04,0.042,0.724,60,17.829,15.317,12.227,14.41,5.659,7.026,3.737,2,5.88,1586.62,1630.39,1585.92,0.78,NA
NLA06608-1147,1,8.89,621.2,2388.16,13,4.52,0.082,0.534,0.565,1.414,775,42.24,18.343,164.541,51.65,22.14,42.05,3.123,8,8.627,6312.36,6371.62,6308.14,0.65,NA
NLA06608-1148,1,9.01,1602,17614.22,172,68.06,0.275,0.033,0.005,6.934,242,48,31.43,25.531,11.75,56.29,215.3,108.5,30,32.173,17371.39,19032.29,17358.41,0.15,NA
NLA06608-1150,1,7.74,59.14,535.57,1.78,8.29,0.014,0.005,0.005,0.5,11,3.792,0.239,1.347,7.155,1.965,1.37,0.753,10,1.164,598.57,570.37,597.58,2.35,NA
NLA06608-1151,1,8.02,104,950.83,5.28,4.03,0.09,0.014,0.058,0.648,129,13.716,1.224,1.932,8.997,3.135,4.392,1.814,17,27.65,950.48,1029.73,944.36,1.45,NA
NLA06608-1153,1,8.11,104.8,1013.76,0.358,0.96,0.005,0.17,0.194,0.224,3,0.254,0.05,2.137,14.96,3.184,0.462,0.164,6,2.654,1033.41,1074.96,1032.8,13.74,NA
NLA06608-1155,1,9.05,1856,14089.7,14.9,26.14,0.045,0.005,0.005,3.069,122,28.68,52.823,319.592,13.8,131.9,179.6,66.17,11,20.319,21049.04,22233.53,21046.98,0.95,NA
NLA06608-1162,1,8.43,279,2561.87,0.851,9.26,0.018,0.005,0.005,0.541,8,3.083,5.46,8.943,34.81,13.08,2.979,0.733,10,5.569,2962.81,2902.21,2961.67,3.45,NA
NLA06608-1163,1,8.64,279.1,2191.56,1.7,10.23,0.03,0.005,0.005,0.778,11,4.005,13.514,12.64,32.93,11.34,5.712,2.131,10,0.519,2881.07,2835.9,2879.32,2.8,NA
NLA06608-1164,1,7.31,168.5,680.12,9.95,6.74,0.029,0.005,0.005,0.424,23,8.08,22.701,4.182,11.15,3.796,11.07,2.007,18,5.795,1403.7,1408.47,1401.6,0.83,NA
NLA06608-1166,1,6.16,13.92,37.15,0.678,2.05,0.005,0.005,0.005,0.197,1,1.148,0.465,2.322,1.085,0.254,0.295,0.312,3,0.025,96.97,99.3,95.85,7.25,NA
NLA06608-1167,1,8.43,429.5,3056.42,1.92,3.83,0.014,0.005,0.005,0.461,5,2.624,23.346,26.063,35.45,22.22,10.15,1.16,4,27.837,4069.45,4257.55,4068.56,4.4,NA
NLA06608-1170,1,8.36,417.8,3175.88,1.6,2.61,0.01,0.005,0.005,0.24,6,1.22,11.332,43.612,54.61,12.1,9.224,0.985,7,2.348,4147.78,4403.52,4147.14,5.35,NA
NLA06608-1172,1,8.19,181.5,1515.75,1.48,3.51,0.02,0.005,0.005,0.241,4,3.003,5.195,9.547,21.83,4.827,4.867,1.752,9,0.838,1744.37,1861.06,1743.03,2.65,NA
NLA06608-1174,1,7.32,39.99,205.57,0.629,6.07,0.017,0.04,0.032,0.298,4,2.76,2.257,2.839,3.773,1.065,1.587,0.623,28,4.484,362.12,330.67,360.87,3.27,NA
NLA06608-1175,1,8.49,375.2,3015.11,15.3,10.58,0.183,0.005,0.005,1.328,69,32.112,26.047,6.344,28.94,25,5.81,5.143,12,7.21,3896.88,3882.23,3885.57,0.55,NA
NLA06608-1177,1,6.31,27.1,92,6.57,3.99,0.081,0.02,0.028,0.328,24,16.64,3.788,0.808,1.009,0.57,2.378,0.542,29,2.436,220.82,218.16,214.55,1.1,NA
NLA06608-1179,1,8.88,989.5,2635.2,22,15.76,0.023,0.005,0.005,2.741,133,349.2,212.712,20.048,31.56,27.83,113.8,3.134,33,1.595,8896.3,9052.36,8895.1,0.3,NA
NLA06608-1181,1,7.91,101.3,786.75,11.4,6,0.023,0.005,0.005,0.251,9,82.224,4.964,3.266,7.893,2.328,8.119,2.181,16,13.472,995.96,994.78,994.37,0.6,NA
NLA06608-1183,1,6.8,10.65,65.87,0.393,2.19,0.005,0.005,0.005,0.133,3,1.808,0.173,0.743,1.102,0.269,0.288,0.105,0,0.531,92.92,86.38,92.34,8,NA
NLA06608-1185,1,8.51,628,1588.97,17,15.41,0.019,0.005,0.005,2.869,62,104.533,121.45,23.568,44.3,9.503,46.72,4.947,21,4.903,5152.46,5505.28,5151.29,0.35,NA
NLA06608-1189,1,6.71,89.54,86.16,0.74,4.17,0.005,0.005,0.005,0.281,9,1.868,17.192,4.39,3.425,0.757,9.064,0.596,11,1.211,643.19,662.67,642.71,3.55,NA
NLA06608-1190,1,7.56,61.93,404.23,13.2,2.07,0.028,0.019,0.026,0.096,3,6.176,5.56,1.958,4.548,1.608,4.721,0.824,4,10.264,587.68,603.7,585.69,0.85,NA
NLA06608-1191,1,7.78,445.7,3253.38,8.81,8.24,0.017,0.005,0.005,0.984,152,48.96,21.08,30.8,55.92,4.731,25.08,7.468,40,17.81,4462.83,4489.24,4461.64,0.78,NA
NLA06608-1195,1,8.43,407.6,2730.93,4.98,7.28,0.02,0.005,0.005,0.753,26,16.571,17.329,45.537,44.11,19.33,7.266,3.051,12,4.725,4187.07,4167.8,4185.8,1.1,NA
NLA06608-1198,1,8.67,310.9,2997.94,1.88,6.23,0.012,0.005,0.005,0.611,9,2.64,6.745,10.742,26.76,23.42,1.987,2.207,5,5.442,3406.08,3411.84,3405.39,2.05,NA
NLA06608-1199,1,9.01,336.1,2375.09,8.77,4.08,0.015,0.005,0.005,0.836,44,49.577,23.878,20.659,16.98,25.24,9.572,1.816,13,2.944,3387.77,3478.71,3387.06,0.93,NA
NLA06608-1204,1,7.43,51.15,316.56,1.34,3.35,0.005,0.005,0.005,0.23,10,5.04,2.187,3.694,4.13,1.639,2.237,1.139,6,2.745,467.71,455.19,467.39,2.93,NA
NLA06608-1206,1,7.64,121.8,930.64,2.39,15.82,0.029,0.005,0.005,0.834,17,2.98,5.261,2.524,13.99,4.566,2.134,0.204,58,1.525,1173.92,1131.6,1171.87,0.8,NA
NLA06608-1207,1,8.41,223.3,2038.67,1.08,3.07,0.018,0.005,0.005,0.24,11,2.501,6.786,4.633,24.36,9.702,3.912,1.046,3,5.517,2211.98,2326.54,2210.84,3.95,NA
NLA06608-1208,1,8.22,923.4,2554.49,23.1,6.87,0.028,0.005,0.005,1.34,182,138.816,34.035,310.166,81.67,48.73,34.04,4.573,10,5.544,9684.7,9972.14,9682.85,0.45,NA
NLA06608-1208,2,8.32,916.5,2511.88,10.3,6.48,0.018,0.006,0,1.359,124,55.584,35.309,326.779,74.91,48.56,35.35,4.597,10,6.761,9390.38,10311.36,9389.13,NA,NA
NLA06608-1209,1,7.08,100.4,157.67,1.99,5.29,0.005,0.005,0.02,0.437,22,6.552,20.125,5.056,5.572,1.122,9.299,0.337,26,1.379,784.05,832.09,783.47,1.58,NA
NLA06608-1210,1,9.12,12600,13963.16,2.8,49.03,0.059,0.005,0.005,4.184,75,5.72,81.173,7762.91,38.44,554.6,2274,87.93,33,3.524,148720.13,177876.51,148717.6,NA,Y
NLA06608-1217,1,7.89,67.61,626.65,6.76,5.6,0.015,0.005,0.005,0.547,64,21.6,0.384,0.987,6.536,1.993,3.067,1.007,24,5.814,650.35,658.04,649.31,0.88,NA
NLA06608-1219,1,9.02,1497,10293.31,21.6,26.7,0.03,0.005,0.005,3.794,99,38.867,26.482,306.368,17.72,118.3,109.2,30.78,17,41.421,16157.49,17418.84,16156.09,0.28,NA
NLA06608-1220,1,7.39,36.06,224.34,8.63,2.87,0.044,0.005,0.005,0.478,31,22.4,2.366,1.207,2.052,1.182,1.839,0.999,6,8.05,308.35,316.25,305.2,0.53,NA
NLA06608-1222,1,7.13,130.4,135.46,2.65,2.75,0.005,0.005,0.005,0.391,12,10.4,27.529,5.583,1.723,1.899,16.31,1.499,7,0.404,990.6,1028.26,990.03,2.3,NA
NLA06608-1223,1,9.47,269.3,2420.8,51.6,12.85,0.036,0.005,0.005,4.053,422,81.6,18.335,6.366,22.06,16.22,5.253,2.729,20,6.448,2734.83,3070.5,2733.8,0.2,NA
NLA06608-1224,1,8.58,205.8,1691.08,5.85,5.63,0.021,0.005,0.005,0.616,23,NA,6.619,10.689,25.44,2.63,9.53,3.291,5,4.965,1985.84,2100.32,1984.58,0.88,NA
NLA06608-1227,1,8.41,353.3,2071.44,2.68,4.39,0.023,0.005,0.005,0.487,8,5.08,19.865,46.704,41.57,14.72,6.38,1.146,6,0.426,3593.91,3604.13,3592.45,2.25,NA
NLA06608-1232,1,8.25,191.4,1390.3,2.61,5.87,0.005,0.005,0.005,0.483,12,5.653,5.927,14.313,19.71,8.212,3.69,3.933,5,0.828,1920.78,1855.48,1920.38,2.45,NA
NLA06608-1236,1,8.44,340.6,2544.23,24.9,5.32,0.055,0.012,0.005,0.504,52,4.752,5.854,35.254,48.87,6.6,9.763,2.59,5,11.672,3476.08,3443.7,3472.62,0.33,NA
NLA06608-1238,1,7.22,55.34,134.16,0.516,2.6,0.005,0.005,0.005,0.131,1,1.829,8.581,3.18,3.284,0.604,4.863,0.445,5,0.765,436.54,442.46,436.48,5.56,NA
NLA06608-1239,1,8.96,409.4,3455.72,13.7,16.85,0.028,0.005,0.005,3.309,117,83.376,33.788,1.881,22.17,28.9,12.68,5.261,9,14.457,4171.89,4447.91,4170.51,0.43,NA
NLA06608-1240,1,7.92,244.9,2440.67,2.56,8.57,0.019,0.005,0.005,0.771,141,28.872,1.405,3.94,40.19,3.47,1.413,2.908,37,6.498,2428.17,2562.34,2426.86,1.1,NA
NLA06608-1241,1,7.66,82.43,556.8,5.75,5.63,0.015,0.005,0.005,0.526,34,14.08,3.789,5.77,6.118,2.63,4.46,1.616,16,11.268,758.11,783.83,757.04,0.98,NA
NLA06608-1242,1,7.81,369.7,2626.94,0.876,9.14,0.03,0.005,0.005,0.849,11,2.896,36.915,2.143,21.25,20.9,17.23,0.897,10,1.218,3554.69,3712.8,3552.6,4.45,NA
NLA06608-1243,1,8.51,474.4,3054.05,8.63,7.45,0.017,0.005,0.005,0.949,42,35.28,40.224,32.051,42.96,18.82,22.82,2.901,23,5.466,4760.22,4855.91,4759.18,0.92,NA
NLA06608-1244,1,8.45,338.2,3617.35,44.6,21.59,0.139,0.005,0.005,3.772,253,103.895,2.884,1.18,29.24,7.916,25.35,13.88,33,43.049,3576.83,3723.27,3568.14,0.28,NA
NLA06608-1245,1,4.16,53.05,-62.96,15.4,15.19,0.016,0.005,0.005,0.596,25,17.44,5.302,3.641,0.85,0.475,2.833,0.257,165,0.298,281.63,231.58,211.3,0.3,NA
NLA06608-1255,1,8.58,4825,6014.51,137,37.6,0.064,0.005,0.005,13.825,1326,516,413.313,1731.346,132,191.3,619.4,60.25,47,29.287,50815.74,53719.04,50811.9,0.1,NA
NLA06608-1256,1,8.46,406.2,3324.92,3.47,3.41,0.036,0.005,0.005,0.346,20,2.584,17.719,15.67,50.2,9.592,12.64,2.297,15,11.011,3905.09,4150.95,3902.85,2.23,NA
NLA06608-1258,1,7.55,100.2,697.77,0.86,10.44,0.036,0.005,0.005,0.712,16,4.347,6.549,2.22,9.073,4.553,2.04,0.775,20,0.153,938.51,928.95,935.96,1.36,NA
NLA06608-1259,1,7.13,42.62,367.31,0.734,1.96,0.005,0.005,0.005,0.129,9,3.008,0.05,0.785,4.732,1.49,0.335,0.275,8,1.692,380.42,386.6,380.34,3.8,NA
NLA06608-1261,1,8.9,821.2,6286.4,3.01,9.71,0.053,0.005,0.005,1.014,32,16.056,40.27,94.878,30.13,55.71,72.7,8.99,40,11.699,9482.67,9397.62,9479.96,NA,Y
NLA06608-1262,1,8.45,191.6,1850.59,5.26,12.96,0.028,0.005,0.005,0.788,33,20.8,4.296,3.848,27.14,6.405,3.576,1.646,40,6.458,2080.74,2051.88,2078.99,0.88,NA
NLA06608-1263,1,8.32,391.9,2335.04,7.88,3.42,0.005,0.005,0.005,0.453,33,14,33.411,24.085,46.13,6.478,14.04,1.755,7,1.684,3491.13,3778.89,3490.54,0.9,NA
NLA06608-1266,1,8.02,140.7,1546.38,574,10.4,0.025,0.291,0.311,2.228,933,0.927,0.783,1.581,6.971,3.289,15.11,3.316,22,12.856,1362.26,1623.59,1360.56,0.04,NA
NLA06608-1268,1,8.45,290.7,2125.79,10.7,5.42,0.012,0.005,0.005,0.99,69,37.84,12.712,20.007,29.51,11.33,5.954,3.119,4,0.108,2744.38,2900.89,2743.63,0.54,NA
NLA06608-1269,1,9.64,746.7,7329.02,13,5.66,0.022,0.005,0.005,1.911,646,113.143,38.463,20.836,26.84,23.33,113.3,2.64,2,16.672,8255.39,8847.71,8254.9,0.32,NA
NLA06608-1270,1,7.27,30.14,209.76,8.94,0.65,0.005,0.164,0.142,0.223,15,1.595,0.479,2.063,3.273,0.881,0.55,1.146,2,1.661,289.39,276.41,289.05,0.78,NA
NLA06608-1271,1,9.06,391.8,3130.09,25.1,11.21,0.502,0.036,0.098,3.534,604,98.88,28.301,18.064,31.47,26.52,6.589,4.186,28,6.308,4169.05,4311.44,4146.3,0.4,NA
NLA06608-1273,1,8.98,397.3,1275.56,27.7,6.11,0.022,0.005,0.005,2.297,197,195.84,69.954,12.764,28.07,9.427,24.94,1.637,16,13.044,3304.18,3514.5,3303.12,0.55,NA
NLA06608-1274,1,7.28,30.3,177.52,0.868,5.32,0.005,0.005,0.005,0.285,4,1.904,0.279,3.105,2.772,1.082,0.913,0.303,5,0.748,275.37,250.09,274.82,4.6,NA
NLA06608-1278,1,8.84,2466,7526.86,11.1,15.55,0.034,0.005,0.005,1.965,303,29.088,148.471,743.49,82.54,96.94,314,39.89,10,10.51,26776.05,27194.52,26774.24,1.28,NA
NLA06608-1279,1,7.8,72.36,642.76,2.19,9.69,0.011,0.005,0.005,0.496,40,10.672,0.452,1.657,11.81,0.817,1.517,0.4,25,3.087,733.54,690.02,732.76,1.33,NA
NLA06608-1281,1,8.88,139.3,1370.63,0.658,5.06,0.012,0.005,0.005,0.4,4,1.189,0.295,4.084,13.1,8.467,1.026,0.45,1,1.875,1407.18,1463.98,1406.56,4.03,NA
NLA06608-1283,1,7.34,70.29,470.92,9.27,14.24,0.039,0.005,0.005,1.012,68,46.368,4.717,1.207,5.36,2.283,2.058,5.231,93,0.825,681.44,629.14,678.64,0.68,NA
NLA06608-1284,1,8.28,212.5,1533.4,1.24,3.38,0.005,0.005,0.005,0.18,5,1.189,2.106,25.739,27.64,4.733,7.4,1.371,10,7.202,2126.11,2128.69,2125.65,5.3,NA
NLA06608-1288,1,8.77,62.6,422.03,12.5,5.2,0.011,0.005,0.005,0.619,86,45.216,3.069,3.1,6.104,1.555,3.313,1.747,15,10.509,621.95,573.14,621.34,0.48,NA
NLA06608-1292,1,8.46,296,2313.6,3.9,3.96,0.014,0.005,0.005,0.395,17,7.08,12.323,26.291,37.52,8.273,9.607,3.248,13,3.218,3054.85,3208.56,3053.97,1.25,NA
NLA06608-1295,1,8.35,1697,3464.33,55.9,3.69,0.013,0.005,0.005,0.74,138,26.08,316.02,170.344,80.95,13.65,227.7,8.39,5,46.321,15282.47,15924.56,15281.63,0.44,NA
NLA06608-1297,1,8.72,362.9,2769.63,2.54,3.89,0.018,0.811,0.857,1.235,17,6.056,9.183,31.838,22.14,16.77,21.89,4.149,6,5.656,3544.06,3752.7,3543.04,2,NA
NLA06608-1300,1,8.48,850.3,2999.85,2.68,4.48,0.011,0.005,0.005,0.229,5,1.594,16.846,254.398,68.79,32.17,58.56,4.53,1,3.863,8743.59,8771.58,8742.91,2.15,NA
NLA06608-1303,1,8.81,425.4,3924.74,5.86,12.08,0.918,0.011,0.105,2.338,817,7.648,21.883,12.6,51.83,17.92,8.385,3.845,20,34.085,4573.5,4811.8,4523.99,2.55,NA
NLA06608-1312,1,8.69,146,1368.29,0.93,3.76,0.013,0.005,0.005,0.287,5,1.6,2.327,6.492,13.84,8.886,1.622,1.058,5,3.092,1520.19,1569.09,1519.44,4.46,NA
NLA06608-1316,1,7.97,214.8,1358.46,76.3,10.5,0.195,0.005,0.005,2.606,269,62.4,7.741,22.429,27.62,4.274,6.241,3.231,20,13.893,2097.35,2043.79,2084.04,0.15,NA
NLA06608-1319,1,8.07,2435,5528.16,29.3,24.17,0.023,0.005,0.005,4.791,241,169.632,35.751,1147.171,84.42,247.3,121.6,44.11,26,40.198,30981.43,30420.66,30979.87,0.28,NA
NLA06608-1321,1,8.39,363.4,3677.17,2.26,2.53,0.013,0.005,0.005,0.168,10,1.57,2.01,16.944,36.62,21.6,6.359,0.775,7,1.438,3902.01,4086.64,3901.18,5.75,NA
NLA06608-1323,1,8.43,174.9,1346.95,1.75,3.12,0.015,0.005,0.005,0.233,9,15.378,6.31,13.492,17.23,5.004,8.756,1.48,6,3.731,1691.21,1805.84,1690.26,1.76,NA
NLA06608-1326,1,8.8,238.9,2631.06,102,8.51,0.021,0.005,0.005,0.854,24,1.68,1.863,0.125,17.53,20.74,1.535,0.923,16,13.254,2672.92,2683.61,2671.78,NA,Y
NLA06608-1329,1,6.33,15.82,112.88,0.758,2.33,0.015,0.005,0.005,0.181,9,0.108,0.13,0.339,1.262,0.23,0.754,0.227,7,3.982,122.04,124.07,120.5,NA,Y
NLA06608-1332,1,7.73,256.7,2070.16,53.2,6.49,0.156,0.023,0.046,0.932,148,19.64,5.969,14.291,41.14,0.196,2.976,3.608,17,3.143,2301.61,2539.36,2290.74,0.2,NA
NLA06608-1333,1,7.41,42.01,271.84,0.78,3.13,0.005,0.005,0.005,0.166,3,1.344,0.587,5.122,5.28,1.111,0.755,0.24,5,2.47,394.55,395.08,393.87,6.8,NA
NLA06608-1334,1,8.57,299.1,2846.13,3.54,3.5,0.005,0.005,0.005,0.388,7,3,7.951,8.5,35.45,13.32,4.774,0.699,7,6.97,3090.93,3247.37,3090.57,2,NA
NLA06608-1334,2,8.45,299.9,2846.52,3.75,3.5,0.01,0,0,0.306,6,2.736,8.189,9.318,38.29,14.16,4.175,0.511,10,7.923,3271.22,3271.51,3270.54,NA,NA
NLA06608-1336,1,7.73,176.3,1333.59,25.7,6.51,0.098,0.067,0.097,1.136,94,49.86,7.039,3.848,17.25,4.957,5.198,3.13,29,8.823,1581.66,1619.19,1574.83,0.38,NA
NLA06608-1338,1,8.92,27370,6969.05,1.5,43.21,0.226,0.013,0.005,4.316,182,4.088,367.683,26489.97,219.5,2466,7178,48.52,60,0.847,527353.47,568861.09,527342.08,NA,Y
NLA06608-1339,1,8.24,3491,4007.4,23.6,15.91,0.023,0.005,0.005,3.372,184,147.6,52.682,1880.933,161.1,282.3,305.6,11.14,21,3.952,44848.1,44654.38,44846.59,0.32,NA
NLA06608-1342,1,7.3,41.04,358.22,2.89,12.86,0.024,0.005,0.005,0.279,12,3.776,0.192,0.55,4.021,1.887,1.325,0.342,82,7.2,424.05,375.14,422.31,1.5,NA
NLA06608-1344,1,8.63,684.6,2651.02,3.39,5.87,0.015,0.005,0.005,0.419,27,6.3,1.364,228.501,34.28,50.71,34.88,1.55,8,0.232,7441.12,7446.89,7440.24,1.15,NA
NLA06608-1346,1,7.41,59.83,262.44,0.76,2.19,0.015,0.005,0.005,0.125,3,2.164,3.203,7.725,7.421,0.761,1.445,0.333,8,0.264,505.4,513.66,504.3,4.3,NA
NLA06608-1347,1,8.09,121.2,1124.12,1.72,7.68,0.034,0.005,0.033,0.551,12,5.072,2.42,3.265,14.64,4.985,2.609,0.727,26,8.506,1275.12,1262.72,1272.82,2.65,NA
NLA06608-1348,1,8.42,191.5,1539.43,1.3,2.37,0.011,0.005,0.005,0.396,5,1.31,7.398,7.465,21.55,6.447,4.485,1.618,5,1.597,1843.02,1903.52,1842.33,4.3,NA
