UID,PUBLICATION_DATE,SITE_ID,DATE_COL,VISIT_NO,STUDY,STATE,SAMPLE_TYPE,FLAG,AGR_CROPLAND,AGR_FEEDLOT,AGR_LIVESTOCK,AGR_ORCHARDS,AGR_PASTURE,AGR_POULTRY,AGR_WITHDRAWAL,APPEALING,BIOTIC_INTEGRITY,FLIGHT_HAZARDS,HYDRO_TYPE,IND_COMMERCIAL,IND_FIRE,IND_INDUSTRIAL,IND_LOGGING,IND_MINES,IND_ODORS,IND_OIL,IND_POWER,LAKE_LEVEL,LEVEL_CHANGE_M,MACRY_DENSITY,MACRY_FLOAT,MACRY_SUBMERGED,MAN_ANGLING,MAN_DRINKING_WATER,MAN_FISH_STOCKING,MAN_LEVEL_FLUCTUATIONS,MAN_LIMING,MAN_MACROPHYTE,MAN_TREATMENT,MBOAT_DENSITY,MBOAT_RESTRICT,OUTLET_DAMS,PRISTINE,RCH_AGRICULTURE,RCH_BARE_GROUND,RCH_DEVELOPMENT,RCH_FOREST,RCH_GRASS,RCH_SHOREMODS,RCH_SHRUB,RCH_WETLAND,REC_FILMS,REC_MARINAS,REC_PARKS,REC_PRIMITIVE,REC_RESORTS,REC_TRAILS,REC_TRASH,RECREATIONAL_VALUE,RES_BRIDGES,RES_CONSTRUCTION,RES_DUMPING,RES_LAWNS,RES_PIPES,RES_RESIDENCES,RES_ROADS,RES_SEWAGE,REVIEW,SWIMMABILITY,TROPHIC_STATE
2010793,4/26/2021,NLA17_WI-10006,22-Aug-17,1,NLA,WI,ASSESS,,,,,,,,,3,FAIR,,SEEPAGE,,,,,,,,,N,,MODERATE,SPARSE,SPARSE,H,,,,,,,,,NONE,3,,SPARSE,MODERATE,SPARSE,MODERATE,MODERATE,,SPARSE,,,,,,,,GOOD,,,,M,,H,M,,,FAIR,MESOTROPHIC
2010794,4/26/2021,NLA17_WI-10118,22-Aug-17,1,NLA,WI,ASSESS,,,,,,,,,4,GOOD,,DRAINAGE,,,,,,,,,,,MODERATE,SPARSE,SPARSE,,,,,,,,LOW,,NATURAL,4,,,,SPARSE,MODERATE,,,MODERATE,,,,,,,,GOOD,,,,,,,L,,,GOOD,MESOTROPHIC
2010795,4/26/2021,NLA17_WV-10003,22-Aug-17,2,NLA,WV,ASSESS,,,,,,,,,3,FAIR,,RESERVOIR,,,,,,,,,N,,MODERATE,SPARSE,SPARSE,L,,L,,,,,LOW,RESTRICTED,ARTIFICIAL,3,RARE,RARE,SPARSE,MODERATE,MODERATE,MODERATE,RARE,SPARSE,,,L,,,,L,GOOD,,,,L,L,L,M,,,FAIR,MESOTROPHIC
2010796,4/26/2021,NLA17_WY-10004,21-Aug-17,1,NLA,WY,ASSESS,,,,M,,H,,,5,GOOD,,RESERVOIR,,,,,,,,,N,,HIGH,SPARSE,MODERATE,,,L,,,,,,RESTRICTED,ARTIFICIAL,5,RARE,RARE,,,EXTENSIVE,RARE,SPARSE,MODERATE,,,,,,,,GOOD,,,,,L,,,,Y,FAIR,MESOTROPHIC
2010797,4/26/2021,NLA17_OK-10095,22-Aug-17,1,NLA,OK,ASSESS,,,,L,,,,,4,GOOD,,RESERVOIR,,,,,,,,,N,,MODERATE,SPARSE,SPARSE,,,,,,,,LOW,RESTRICTED,ARTIFICIAL,3,RARE,RARE,SPARSE,MODERATE,MODERATE,SPARSE,SPARSE,SPARSE,L,,,,,,L,GOOD,,,,L,L,L,L,,,GOOD,EUTROPHIC
2010798,4/26/2021,NLA17_SD-10112,23-Aug-17,1,NLA,SD,ASSESS,,L,,L,,L,,,5,FAIR,,RESERVOIR,L,,,,,,,,,,SPARSE,RARE,SPARSE,M,,M,,,L,,HIGH,,ARTIFICIAL,1,,RARE,MODERATE,RARE,SPARSE,MODERATE,,SPARSE,,,L,L,L,L,L,EXCELLENT,M,L,,M,L,M,L,,,FAIR,EUTROPHIC
2010799,4/26/2021,NLA17_CA-10005,23-Aug-17,2,NLA,CA,ASSESS,,,,,,,,M,3,GOOD,,SEEPAGE,,,,,,,,,,,ABSENT,RARE,SPARSE,,,,,,,,,BANNED,NONE,4,RARE,EXTENSIVE,MODERATE,RARE,SPARSE,RARE,MODERATE,RARE,,,,,,,L,POOR,,,,,L,M,M,,,UNSWIMMABLE,MESOTROPHIC
2010800,4/26/2021,NLA17_ND-HP001,23-Aug-17,1,NLA,ND,ASSESS,,,,L,,M,,,4,GOOD,,RESERVOIR,,,,,,,,,N,,HIGH,SPARSE,MODERATE,L,,,,,,,,,ARTIFICIAL,4,,SPARSE,,,MODERATE,RARE,SPARSE,MODERATE,,,,,,,L,GOOD,,,,,,,L,,,FAIR,EUTROPHIC
2010801,4/26/2021,NLA17_GA-10004,23-Aug-17,1,NLA,GA,ASSESS,,,,,,,,,5,GOOD,,RESERVOIR,,,,,,,,,N,,SPARSE,RARE,,H,,M,M,,,,HIGH,,ARTIFICIAL,4,,SPARSE,SPARSE,EXTENSIVE,RARE,MODERATE,RARE,RARE,,H,M,M,,L,,EXCELLENT,L,,,M,L,M,M,,,GOOD,MESOTROPHIC
2010802,4/26/2021,NLA17_TX-10089,23-Aug-17,1,NLA,TX,ASSESS,,,,H,,H,,,2,FAIR,,RESERVOIR,,,,,,,,,Y,2,HIGH,SPARSE,MODERATE,,,,,,,,LOW,,NONE,2,EXTENSIVE,EXTENSIVE,RARE,RARE,RARE,RARE,RARE,RARE,,,,,,,,POOR,,,,L,,L,L,,Y,UNSWIMMABLE,EUTROPHIC
2010803,4/26/2021,NLA17_WV-10015,23-Aug-17,1,NLA,WV,ASSESS,,,,,,,,,3,FAIR,,RESERVOIR,,,,,,,,,N,,MODERATE,MODERATE,SPARSE,L,,,,,,,LOW,RESTRICTED,ARTIFICIAL,3,RARE,RARE,RARE,MODERATE,MODERATE,SPARSE,MODERATE,MODERATE,,,,,,L,L,GOOD,,,,L,,,L,,,UNSWIMMABLE,EUTROPHIC
2010804,4/26/2021,NLA17_OK-10030,21-Aug-17,1,NLA,OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010805,4/26/2021,NLA17_OK-10061,8-Aug-17,1,NLA,OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010806,4/26/2021,NLA17_WY-10050,23-Aug-17,1,NLA,WY,ASSESS,,,,,,,,,4,GOOD,,SEEPAGE,,,,,,,,,N,,MODERATE,SPARSE,MODERATE,,,L,L,,,,,RESTRICTED,NATURAL,4,,SPARSE,,MODERATE,MODERATE,,SPARSE,RARE,,,,,,,,GOOD,,,,,,,,,,FAIR,MESOTROPHIC
2010807,4/26/2021,NLA17_FL-10030,24-Aug-17,1,NLA,FL,ASSESS,,,,,,,,,4,EXCELLENT,,SEEPAGE,,M,,,,,,,N,,MODERATE,MODERATE,MODERATE,,,,,,,,,RESTRICTED,NONE,4,,SPARSE,,MODERATE,EXTENSIVE,MODERATE,MODERATE,EXTENSIVE,M,,,,,H,,EXCELLENT,,M,,,L,,M,,Y,FAIR,EUTROPHIC
2010808,4/26/2021,NLA17_AR-10022,24-Aug-17,1,NLA,AR,ASSESS,,,,,,,,,5,GOOD,,SEEPAGE,,,,M,,,,,N,,ABSENT,,,L,,,,,,,LOW,,,4,,,,EXTENSIVE,,,,,L,,,,,,L,GOOD,,,,,,,L,,,UNSWIMMABLE,EUTROPHIC
2010809,4/26/2021,NLA17_MI-10092,24-Aug-17,1,NLA,MI,ASSESS,,,,,,,,,4,GOOD,,DRAINAGE,,,,,L,,,,N,,MODERATE,SPARSE,MODERATE,L,,,,,,,,,,4,,,,SPARSE,RARE,,EXTENSIVE,SPARSE,,,,,,,,GOOD,,,,L,,,L,,,UNSWIMMABLE,EUTROPHIC
2010810,4/26/2021,NLA17_MN-10009,23-Aug-17,1,NLA,MN,ASSESS,,M,M,L,,M,,,2,FAIR,,DRAINAGE,L,,,,,,,,N,,MODERATE,SPARSE,SPARSE,L,,,,,L,,HIGH,,NONE,3,MODERATE,SPARSE,MODERATE,MODERATE,SPARSE,SPARSE,SPARSE,MODERATE,M,,,,,,L,FAIR,L,L,L,H,L,H,M,,,FAIR,EUTROPHIC
2010811,4/26/2021,NLA17_MN-10188,24-Aug-17,1,NLA,MN,ASSESS,,H,,,,L,,,2,FAIR,,DRAINAGE,,,,,,,,,,,MODERATE,MODERATE,SPARSE,,,,,,,,,,NONE,2,RARE,RARE,RARE,SPARSE,SPARSE,RARE,SPARSE,EXTENSIVE,,,,,,,,FAIR,,,L,L,M,L,M,,,UNSWIMMABLE,HYPEREUTROPHIC
2010812,4/26/2021,NLA17_WV-10017,24-Aug-17,1,NLA,WV,ASSESS,,,,,,,,,3,FAIR,,RESERVOIR,,,,,,,,,N,,MODERATE,MODERATE,SPARSE,L,,,,,,,LOW,BANNED,ARTIFICIAL,3,RARE,SPARSE,MODERATE,MODERATE,MODERATE,MODERATE,SPARSE,MODERATE,,,,,,,,FAIR,,,,M,,M,M,,,FAIR,EUTROPHIC
2010813,4/26/2021,NLA17_NV-10005,24-Aug-17,1,NLA,NV,ASSESS,,,,,,,,,5,GOOD,N,SEEPAGE,,M,,,,,,,N,,SPARSE,,RARE,H,,M,,,,,LOW,NONE,NONE,4,,MODERATE,SPARSE,,,RARE,SPARSE,,,L,M,L,,,L,EXCELLENT,L,L,,L,L,L,L,L,,GOOD,MESOTROPHIC
2010814,4/26/2021,NLA17_OR-10128,24-Aug-17,2,NLA,OR,ASSESS,,M,,M,L,M,,,1,POOR,,SEEPAGE,,,,,,,,,Y,3.3,MODERATE,MODERATE,MODERATE,,,L,,,,,,,NONE,2,,EXTENSIVE,,RARE,SPARSE,RARE,RARE,,L,,,,,L,M,FAIR,,,,,,,L,,Y,FAIR,EUTROPHIC
2010815,4/26/2021,NLA17_OR-10132,23-Aug-17,1,NLA,OR,ASSESS,,,,,,,,,5,EXCELLENT,,SEEPAGE,,,,,,,,,N,,SPARSE,RARE,RARE,M,,,,,,,,BANNED,NONE,4,RARE,RARE,,EXTENSIVE,RARE,SPARSE,RARE,RARE,,,,,M,,L,EXCELLENT,,,,,,,L,,Y,GOOD,MESOTROPHIC
2010816,4/26/2021,NLA17_NY-10001,23-Aug-17,1,NLA,NY,ASSESS,,L,,,L,,,M,3,FAIR,,DRAINAGE,M,,,,,,,,N,,SPARSE,RARE,RARE,M,M,L,,,L,,HIGH,,NONE,1,RARE,SPARSE,EXTENSIVE,SPARSE,EXTENSIVE,MODERATE,RARE,RARE,,M,L,,,L,L,EXCELLENT,,L,,H,L,H,H,,,GOOD,MESOTROPHIC
2010817,4/26/2021,NLA17_NY-10007,24-Aug-17,1,NLA,NY,ASSESS,,,,,,,,,3,GOOD,,SEEPAGE,,,,,,,,,N,,MODERATE,MODERATE,MODERATE,,,,,,L,,LOW,BANNED,NONE,3,RARE,RARE,RARE,MODERATE,RARE,SPARSE,EXTENSIVE,RARE,,,,,,L,,FAIR,,,,,,,L,,Y,UNSWIMMABLE,EUTROPHIC
2010818,4/26/2021,NLA17_TN-10022,25-Aug-17,1,NLA,TN,ASSESS,,,,,,L,,,2,POOR,,RESERVOIR,,,,,,,,,N,,SPARSE,RARE,,L,,,,,,,LOW,,ARTIFICIAL,2,,SPARSE,,MODERATE,MODERATE,SPARSE,SPARSE,SPARSE,L,,,M,,L,M,FAIR,,,L,M,,,L,,Y,UNSWIMMABLE,EUTROPHIC
2010819,4/26/2021,NLA17_NY-10018,25-Aug-17,1,NLA,NY,ASSESS,,,,,,,,,3,FAIR,,RESERVOIR,,,,,,,,,N,,SPARSE,RARE,SPARSE,L,,,,,,,LOW,BANNED,ARTIFICIAL,2,RARE,RARE,MODERATE,MODERATE,MODERATE,RARE,SPARSE,RARE,,,,,,,L,FAIR,,,,M,,M,M,,Y,UNSWIMMABLE,EUTROPHIC
2010820,4/26/2021,NLA17_MT-10030,27-Aug-17,1,NLA,MT,ASSESS,,,,M,,L,,,2,POOR,,SEEPAGE,,,,,,,,,Y,0.3,HIGH,RARE,EXTENSIVE,,,,,,,,,,NONE,2,,MODERATE,,,SPARSE,,SPARSE,MODERATE,,,,,,,,POOR,,,,,,,,,,UNSWIMMABLE,HYPEREUTROPHIC
2010821,4/26/2021,NLA17_NY-HP001,27-Aug-17,1,NLA,NY,ASSESS,,,,,,,,,4,GOOD,,RESERVOIR,,,,,,,,,N,,MODERATE,SPARSE,SPARSE,L,,,,,,,LOW,BANNED,ARTIFICIAL,4,RARE,RARE,RARE,EXTENSIVE,SPARSE,RARE,SPARSE,RARE,,,L,,,L,,EXCELLENT,,,,,L,,L,,Y,GOOD,MESOTROPHIC
2010822,4/26/2021,NLA17_WY-10009,23-Aug-17,1,NLA,WY,ASSESS,,,,,,,,,5,GOOD,Y,DRAINAGE,,,,,,,,,N,,SPARSE,RARE,RARE,L,,,,,,,,BANNED,NATURAL,5,,EXTENSIVE,,,SPARSE,,SPARSE,,,,,L,,L,,GOOD,,,,,,,,,Y,FAIR,OLIGOTROPHIC
2010823,4/26/2021,NLA17_WY-10020,27-Aug-17,1,NLA,WY,ASSESS,,M,,L,,M,,,3,GOOD,,DRAINAGE,,,,,,,,,Y,0.6,SPARSE,RARE,RARE,,,L,H,,,,LOW,,ARTIFICIAL,3,RARE,MODERATE,RARE,RARE,MODERATE,SPARSE,SPARSE,RARE,,,,M,,L,,GOOD,,,,,,,L,,Y,FAIR,
2010824,4/26/2021,NLA17_WY-10031,27-Aug-17,1,NLA,WY,ASSESS,,,,,,,,,5,GOOD,Y,DRAINAGE,,,,,,,,,N,,ABSENT,RARE,RARE,L,,,,,,,,BANNED,,5,,EXTENSIVE,,RARE,RARE,,RARE,RARE,,,,,,,,EXCELLENT,,,,,,,,,,GOOD,MESOTROPHIC
2010825,4/26/2021,NLA17_TN-10023,28-Aug-17,1,NLA,TN,ASSESS,,,,,,,,,3,GOOD,,RESERVOIR,,,,,,,,,,,MODERATE,RARE,MODERATE,L,,,M,,,,LOW,,ARTIFICIAL,3,RARE,SPARSE,,MODERATE,MODERATE,SPARSE,SPARSE,MODERATE,L,,,M,,,L,GOOD,,,,L,,,M,,,FAIR,EUTROPHIC
2010826,4/26/2021,NLA17_ND-10107,28-Aug-17,1,NLA,ND,ASSESS,,,,,,,,,4,GOOD,N,SEEPAGE,,,,,,,,,Y,0.5,SPARSE,RARE,SPARSE,,,,,,,,LOW,RESTRICTED,NONE,4,,MODERATE,,,MODERATE,,RARE,MODERATE,,,,L,,,L,FAIR,,,,,,,L,,,UNSWIMMABLE,EUTROPHIC
2010827,4/26/2021,NLA17_MN-10180,28-Aug-17,1,NLA,MN,ASSESS,,H,L,L,,M,,,2,FAIR,,SEEPAGE,,,,,,,,,,,HIGH,MODERATE,MODERATE,,,,,,,,,,NONE,2,MODERATE,RARE,,RARE,SPARSE,,SPARSE,MODERATE,,,,,,,,FAIR,,,,L,M,L,L,,,UNSWIMMABLE,HYPEREUTROPHIC
2010828,4/26/2021,NLA17_MT-10076,28-Aug-17,1,NLA,MT,ASSESS,,,,,,,,,4,GOOD,,SEEPAGE,,,,,,,,,Y,0.3,SPARSE,RARE,SPARSE,L,,,L,,,,,,NONE,3,,MODERATE,,,MODERATE,,MODERATE,RARE,,,,L,,,,FAIR,,,,,,,,,,FAIR,EUTROPHIC
2010829,4/26/2021,NLA17_IN-10076,28-Aug-17,1,NLA,IN,ASSESS,,M,,L,,L,,,2,FAIR,,RESERVOIR,,,,,,,,,Y,0.5,ABSENT,RARE,RARE,,,,,,L,H,LOW,,ARTIFICIAL,2,RARE,SPARSE,SPARSE,SPARSE,EXTENSIVE,RARE,SPARSE,RARE,M,,,,,,L,FAIR,,L,L,H,L,M,M,,Y,FAIR,HYPEREUTROPHIC
2010830,4/26/2021,NLA17_MN-10017,29-Aug-17,1,NLA,MN,ASSESS,,M,,,,L,,,2,FAIR,,RESERVOIR,,,,,,,,,N,,SPARSE,RARE,RARE,,,,,,,,,BANNED,,3,RARE,RARE,RARE,RARE,RARE,RARE,SPARSE,EXTENSIVE,L,,,,,,L,FAIR,,,L,L,,L,,,Y,UNSWIMMABLE,EUTROPHIC
2010831,4/26/2021,NLA17_OR-10006,29-Aug-17,1,NLA,OR,ASSESS,,,,M,,M,,M,3,FAIR,,RESERVOIR,,,,L,,,,,Y,5,SPARSE,RARE,RARE,M,,M,M,,,,LOW,,ARTIFICIAL,2,,MODERATE,,MODERATE,SPARSE,SPARSE,SPARSE,SPARSE,,L,M,L,,L,L,GOOD,L,,,,,,L,,,GOOD,MESOTROPHIC
2010832,4/26/2021,NLA17_OR-10088,29-Aug-17,1,NLA,OR,ASSESS,,M,,,,H,,,3,FAIR,,SEEPAGE,,,,,,,,,N,,MODERATE,SPARSE,MODERATE,M,,H,,,,,,BANNED,NONE,2,,SPARSE,,,MODERATE,,MODERATE,MODERATE,,,,,,,L,GOOD,L,,,L,,L,M,,,FAIR,MESOTROPHIC
2010833,4/26/2021,NLA17_SC-HP002,29-Aug-17,1,NLA,SC,ASSESS,,,,,,,,,5,EXCELLENT,,RESERVOIR,,,,,,,,,Y,2,ABSENT,,,M,,,M,,,,HIGH,,ARTIFICIAL,5,RARE,RARE,RARE,EXTENSIVE,SPARSE,RARE,EXTENSIVE,RARE,,,M,M,,L,L,EXCELLENT,,,,L,,L,L,,,GOOD,OLIGOTROPHIC
2010834,4/26/2021,NLA17_WY-10019,29-Aug-17,1,NLA,WY,ASSESS,,,,,,,,,5,EXCELLENT,Y,DRAINAGE,,,,,,,,,N,,SPARSE,RARE,RARE,L,,,,,,,,BANNED,,5,,SPARSE,,EXTENSIVE,SPARSE,,SPARSE,SPARSE,,,,L,,L,L,EXCELLENT,,,,,,,,,,FAIR,MESOTROPHIC
2010835,4/26/2021,NLA17_OR-10029,29-Aug-17,1,NLA,OR,ASSESS,,,,,,,,,5,EXCELLENT,,RESERVOIR,,,,,,,,,Y,1.3,ABSENT,,,L,,,L,,,,,,ARTIFICIAL,5,,MODERATE,,SPARSE,SPARSE,,MODERATE,,,,,L,,L,L,EXCELLENT,,,,,,,,,,GOOD,OLIGOTROPHIC
2010836,4/26/2021,NLA17_ND-10128,30-Aug-17,1,NLA,ND,ASSESS,,L,,L,,M,,,4,GOOD,N,SEEPAGE,,,,,,,,,N,,HIGH,SPARSE,MODERATE,,,,,,,,LOW,NONE,NONE,4,,RARE,,,MODERATE,,SPARSE,MODERATE,L,,,,,,L,FAIR,,,,L,,L,L,,,UNSWIMMABLE,EUTROPHIC
2010837,4/26/2021,NLA17_MO-10028,30-Aug-17,1,NLA,MO,ASSESS,,,,,,H,,,4,GOOD,Y,RESERVOIR,,,,,,L,,,N,,MODERATE,RARE,SPARSE,,,,,,,,,,ARTIFICIAL,2,SPARSE,RARE,,MODERATE,SPARSE,,MODERATE,SPARSE,M,,,,,,,GOOD,,,,,,,L,,Y,UNSWIMMABLE,EUTROPHIC
2010838,4/26/2021,NLA17_NY-10005,29-Aug-17,1,NLA,NY,ASSESS,,,,,,,,,5,GOOD,,SEEPAGE,,,,,,,,,N,,SPARSE,RARE,RARE,,,L,,,,,LOW,BANNED,NONE,5,RARE,RARE,RARE,EXTENSIVE,RARE,RARE,SPARSE,RARE,,,,L,,L,,FAIR,,,,,,,,,Y,FAIR,MESOTROPHIC
2010839,4/26/2021,NLA17_NY-10014,30-Aug-17,1,NLA,NY,ASSESS,,,,,,,,,5,EXCELLENT,,DRAINAGE,,,,,,,,,N,,MODERATE,MODERATE,SPARSE,,,,,,,,LOW,RESTRICTED,NONE,4,RARE,RARE,RARE,EXTENSIVE,SPARSE,RARE,SPARSE,RARE,,,,,,,,GOOD,,,,,,,L,,Y,FAIR,EUTROPHIC
2010840,4/26/2021,NLA17_MT-10002,30-Aug-17,1,NLA,MT,ASSESS,,,,,,,,,5,EXCELLENT,,DRAINAGE,,,,,,,,,Y,0,SPARSE,RARE,SPARSE,L,,,,,,,,BANNED,NONE,4,,RARE,,EXTENSIVE,SPARSE,,SPARSE,SPARSE,,,,L,,L,,GOOD,,,,,,,,,,FAIR,MESOTROPHIC
2010841,4/26/2021,NLA17_CT-10005,31-Aug-17,2,NLA,CT,ASSESS,,,,,,,,,4,GOOD,,DRAINAGE,,,,,,,,,N,,MODERATE,SPARSE,EXTENSIVE,L,,,,,,,LOW,RESTRICTED,ARTIFICIAL,4,,,SPARSE,EXTENSIVE,SPARSE,RARE,EXTENSIVE,SPARSE,,,,,,,,GOOD,,,,L,,L,L,,Y,FAIR,MESOTROPHIC
2010842,4/26/2021,NLA17_MO-10001,31-Aug-17,2,NLA,MO,ASSESS,,H,,,,,,,3,GOOD,Y,RESERVOIR,,,,,,,,,N,,SPARSE,RARE,SPARSE,,,,,,,,,,ARTIFICIAL,3,,SPARSE,,SPARSE,MODERATE,RARE,MODERATE,SPARSE,,,,,,,,FAIR,,,,,,,L,,Y,UNSWIMMABLE,EUTROPHIC
2010843,4/26/2021,NLA17_MT-10015,31-Aug-17,1,NLA,MT,ASSESS,,,,,,,,,5,,Y,RESERVOIR,,,,,,,,,N,,SPARSE,RARE,RARE,L,,,,,,,,BANNED,ARTIFICIAL,5,,MODERATE,,MODERATE,RARE,RARE,RARE,RARE,,,,L,,L,,GOOD,,,,,,,,,Y,GOOD,OLIGOTROPHIC
2010844,4/26/2021,NLA17_MI-10133,31-Aug-17,1,NLA,MI,ASSESS,,,,,,,,,5,EXCELLENT,,DRAINAGE,,,,,,,,,N,,SPARSE,RARE,RARE,,,,,,,,,,NONE,5,,RARE,,EXTENSIVE,RARE,,MODERATE,MODERATE,,,,,,,,FAIR,,,,,,,L,,,UNSWIMMABLE,MESOTROPHIC
2010845,4/26/2021,NLA17_WY-10006,30-Aug-17,1,NLA,WY,ASSESS,,,,M,,H,,,5,EXCELLENT,,SEEPAGE,,,,,,,,,N,,MODERATE,SPARSE,RARE,,,,,,,,,BANNED,NONE,5,RARE,SPARSE,RARE,EXTENSIVE,MODERATE,RARE,MODERATE,MODERATE,,,,,,L,,GOOD,,,,,,,,,Y,GOOD,MESOTROPHIC
2010846,4/26/2021,NLA17_IN-10096,30-Aug-17,1,NLA,IN,ASSESS,,L,,,,,,,3,FAIR,,RESERVOIR,,,,,,,,,Y,0.5,SPARSE,RARE,SPARSE,L,,,L,,M,M,LOW,RESTRICTED,ARTIFICIAL,3,RARE,RARE,MODERATE,MODERATE,MODERATE,SPARSE,SPARSE,RARE,,,,,,L,,FAIR,,L,,H,L,L,L,,,FAIR,EUTROPHIC
2010847,4/26/2021,NLA17_MN-10030,30-Aug-17,1,NLA,MN,ASSESS,,M,,,,,,,2,GOOD,,SEEPAGE,,,,,,L,,,N,,ABSENT,RARE,RARE,,,,,,,,LOW,,NONE,2,MODERATE,RARE,MODERATE,MODERATE,SPARSE,MODERATE,MODERATE,RARE,L,,L,,,,L,FAIR,L,L,,L,L,L,M,,Y,FAIR,EUTROPHIC
2010848,4/26/2021,NLA17_NE-10070,30-Aug-17,1,NLA,NE,ASSESS,,,,,,,,,4,GOOD,,SEEPAGE,,,,,,,,,N,,SPARSE,RARE,RARE,L,,,,,,,LOW,,NATURAL,4,,EXTENSIVE,,,SPARSE,SPARSE,,,,,,,,,,EXCELLENT,,,,M,,H,H,,Y,FAIR,
2010849,4/26/2021,NLA17_MT-10012,4-Sep-17,1,NLA,MT,ASSESS,,,,,,,,,3,GOOD,,SEEPAGE,,,,,,,,,N,,MODERATE,,MODERATE,L,,L,,,,,,BANNED,NONE,2,RARE,MODERATE,,,SPARSE,RARE,RARE,,,,,L,,,L,FAIR,,,,,,,,,,GOOD,MESOTROPHIC
2010850,4/26/2021,NLA17_MT-10101,1-Sep-17,1,NLA,MT,ASSESS,,,,,,,,,4,GOOD,Y,RESERVOIR,,,,,,,,,N,,SPARSE,,RARE,L,,,,,,,,RESTRICTED,ARTIFICIAL,4,,RARE,,EXTENSIVE,,,RARE,RARE,,,,L,,L,L,GOOD,,,,,,,,,Y,GOOD,MESOTROPHIC
2010851,4/26/2021,NLA17_MT-10104,4-Sep-17,1,NLA,MT,ASSESS,,,,M,,M,,,4,GOOD,,SEEPAGE,,L,,,,,,,N,,MODERATE,,MODERATE,L,,,,,,,LOW,,NONE,4,RARE,SPARSE,SPARSE,MODERATE,SPARSE,,SPARSE,RARE,L,,,,,,,GOOD,L,,,,,L,L,,Y,FAIR,MESOTROPHIC
2010852,4/26/2021,NLA17_NY-10017,4-Sep-17,1,NLA,NY,ASSESS,,,,,,,,,4,FAIR,,DRAINAGE,,,,,,,,,N,,MODERATE,SPARSE,SPARSE,,,,,,,,LOW,BANNED,NATURAL,5,RARE,RARE,RARE,EXTENSIVE,RARE,RARE,SPARSE,SPARSE,L,,,L,,L,,FAIR,,,,,,,,,Y,UNSWIMMABLE,MESOTROPHIC
2010853,4/26/2021,NLA17_IA-10039,5-Sep-17,1,NLA,IA,ASSESS,,H,,L,,L,,,3,FAIR,,RESERVOIR,L,,,,,,,,N,,SPARSE,RARE,SPARSE,M,,M,,,,,LOW,,ARTIFICIAL,2,SPARSE,RARE,SPARSE,SPARSE,MODERATE,SPARSE,SPARSE,RARE,L,,L,,,L,L,GOOD,L,,,M,L,M,L,,Y,FAIR,EUTROPHIC
2010854,4/26/2021,NLA17_MS-10001,5-Sep-17,1,NLA,MS,ASSESS,,L,L,,,,,,3,GOOD,,SEEPAGE,,,,,,,L,,,,SPARSE,RARE,,L,,,,,,,LOW,,NONE,3,,RARE,,MODERATE,MODERATE,,MODERATE,,,,,,,,,FAIR,,,,,L,,L,,,FAIR,EUTROPHIC
2010855,4/26/2021,NLA17_CA-10004,5-Sep-17,1,NLA,CA,ASSESS,,,,,,,,,5,EXCELLENT,,RESERVOIR,,,,,,,,,N,,SPARSE,RARE,RARE,,,L,,,,,LOW,,ARTIFICIAL,5,,SPARSE,,EXTENSIVE,SPARSE,SPARSE,SPARSE,SPARSE,,L,L,L,,L,L,EXCELLENT,,,,,,M,L,,,GOOD,OLIGOTROPHIC
2010856,4/26/2021,NLA17_DE-10011,5-Sep-17,1,NLA,DE,ASSESS,,M,,,,,,,3,FAIR,,RESERVOIR,,,,,,,,,N,,ABSENT,,,,,,,,,,,BANNED,ARTIFICIAL,1,,,,RARE,EXTENSIVE,EXTENSIVE,RARE,,,,,,,,,POOR,,,,H,L,L,L,,Y,FAIR,EUTROPHIC
2010857,4/26/2021,NLA17_CT-10019,6-Sep-17,1,NLA,CT,ASSESS,,,,,,,,,2,FAIR,,DRAINAGE,,,,,,M,,,N,,MODERATE,SPARSE,MODERATE,,,,,,,,,BANNED,ARTIFICIAL,3,,,MODERATE,SPARSE,MODERATE,,SPARSE,RARE,M,,,,,,L,POOR,,,,M,,M,M,,Y,UNSWIMMABLE,EUTROPHIC
2010858,4/26/2021,NLA17_MT-10084,5-Sep-17,1,NLA,MT,ASSESS,,,,,,,,,4,GOOD,,SEEPAGE,,,,,,,,,N,,MODERATE,SPARSE,MODERATE,L,,,,,,,,RESTRICTED,NONE,4,,RARE,,MODERATE,SPARSE,SPARSE,,SPARSE,,,,L,,,L,GOOD,,,,,,,L,,Y,FAIR,MESOTROPHIC
2010859,4/26/2021,NLA17_MT-10120,5-Sep-17,1,NLA,MT,ASSESS,,,,,,,,,4,GOOD,Y,SEEPAGE,,,,,,,,,N,,HIGH,RARE,EXTENSIVE,L,,,,,,,LOW,RESTRICTED,NONE,3,,RARE,SPARSE,EXTENSIVE,SPARSE,RARE,RARE,,,,,,,L,L,GOOD,,,,L,,L,L,,Y,FAIR,MESOTROPHIC
